排名,电影名,年份,类型,导演,票房
第 63 名,海底总动员,2003,动画/冒险,安德鲁・斯坦顿、李・昂克里奇,"940,352,645"
第 64 名,小黄人大眼萌：神偷奶爸前传,2022,动画,皮艾尔・柯芬,"939,628,210"
第 65 名,哈利・波特与混血王子,2009,奇幻/冒险,大卫・叶茨,"934,454,096"
第 66 名,怪物史瑞克2,2004,动画/冒险,安德鲁・亚当森、凯利・阿斯博瑞、康拉德・弗农,"928,760,770"
第 67 名,波西米亚狂想曲,2018,音乐/传记,布莱恩・辛格,"910,809,311"
第 68 名,,2021,战争,陈凯歌、徐克、林超贤,"902,540,935"
第 69 名,指环王1：魔戒再现,2001,奇幻/冒险,彼得・杰克逊,"898,094,742"
第 70 名,哈利・波特与火焰杯,2005,奇幻/冒险,迈克・纽维,"896,678,241"
,,,,,
第 71 名,蜘蛛侠3,2007,科幻/动作,山姆・雷米,"894,983,373"
第 72 名,冰川时代3：恐龙的黎明,2009,动画/冒险,卡洛斯・沙尔丹哈,"886,686,817"
第 73 名,007：幽灵党,2015,动作/枪战,萨姆・门德斯,"880,681,519"
第 74 名,蜘蛛侠：英雄归来,2017,科幻/动作,乔・沃茨,"880,166,924"
第 75 名,哈利・波特与密室,2002,奇幻/冒险,克里斯・哥伦布,"879,602,366"
第 76 名,冰川时代4：大陆漂移,2012,动画/冒险,麦克・特米尔,"877,244,782"
第 77 名,爱宠大机密,2016,动画/喜剧,亚罗・切尼、克里斯・雷纳德,"875,458,631"
第 78 名,蝙蝠侠大战超人：正义黎明,2016,科幻/动作,扎克・施奈德,"873,637,528"
第 79 名,,2017,动作/军事,吴京,"870,325,439"
第 80 名,星球大战前传3：西斯的复仇,2005,科幻/战争,乔治・卢卡斯,"868,390,560"
,,,,,
第 81 名,饥饿游戏2：星火燎原,2013,动作/科幻,弗朗西斯・劳伦斯,"865,011,746"
第 82 名,银河护卫队2,2017,科幻/动作,詹姆斯・古恩,"863,756,051"
第 83 名,头脑特工队,2015,动画/喜剧,彼特・道格特、罗纳尔多・德尔・卡门,"858,848,019"
第 84 名,毒液：致命守护者,2018,科幻/动作,鲁本・弗雷斯彻,"856,085,151"
第 85 名,黑豹2：瓦坎达万岁,2022,科幻/动作,瑞恩・库格勒,"855,070,308"
第 86 名,雷神3：诸神黄昏,2017,奇幻/动作,塔伊加・维迪提,"853,983,911"
第 87 名,盗梦空间,2010,科幻/惊悚,克里斯托弗・诺兰,"836,836,967"
第 88 名,变形金刚2：卷土重来,2009,科幻/动作,迈克尔・贝,"836,303,693"
第 89 名,暮光之城4：破晓（下）,2012,奇幻/爱情,比尔・康顿,"829,747,654"
第 90 名,蜘蛛侠,2002,科幻/动作,山姆・雷米,"825,025,036"
,,,,,
第 91 名,神奇女侠,2017,奇幻/动作,派蒂・杰金斯,"822,824,522"
第 92 名,你好，李焕英,2021,亲情/奇幻,贾玲,"822,009,764"
第 93 名,独立日,1996,科幻/战争,罗兰・艾默里奇,"817,400,891"
第 94 名,神奇动物在哪里,2016,奇幻/冒险,大卫・叶茨,"814,044,001"
第 95 名,怪物史瑞克3,2007,动画/冒险,许诚毅、克里斯・米勒,"813,367,380"
第 96 名,寻梦环游记,2017,动画/冒险,李・昂克里奇、阿德里安・莫利纳,"807,817,888"
第 97 名,勇敢者游戏2：再战巅峰,2019,科幻/冒险,杰克・卡斯丹,"800,059,707"
第 98 名,哈利・波特与阿兹卡班的囚徒,2004,奇幻/冒险,阿方索・卡隆,"797,361,618"
第 99 名,加勒比海盗5：死无对证,2017,奇幻/冒险,乔阿吉姆・罗恩尼、艾斯彭・山德伯格,"794,881,442"
第 100 名,E.T.外星人,1982,科幻/家庭,史蒂文・斯皮尔伯格,"792,910,554"
,,,,,
